Timestamp,Price (RMB/MWh),TotalDemand (MW),LoadForecast (MW),Temperature (°C),Humidity (%),WindSpeed (m/s),SolarIrradiance (W/m²),HydroGeneration (MW),WindGeneration (MW),SolarGeneration (MW),CoalGeneration (MW),GasGeneration (MW),PreviousPrice_lag1,PreviousPrice_lag2,RollingMean_3h,RollingStd_3h,DayOfWeek,HourOfDay,HolidayFlag,RenewableShare (%)
1/1/24 00:00,80.99,4140.0,4106.241086251281,13.1,45.7,4.5,0.0,416.0,300.0,15.0,1266.0,825.0,,,80.99,0.0,2,0,False,17.66
1/1/24 01:00,79.92,4100.0,4092.7740664642242,14.2,49.9,4.5,0.0,365.0,293.0,23.0,1285.0,873.0,80.99,,80.46,0.76,2,1,False,16.61
1/1/24 02:00,81.7,4021.0,3981.379003950002,14.8,50.2,2.8,0.0,416.0,299.0,14.0,1270.0,893.0,79.92,80.99,80.87,0.9,2,2,False,18.13
1/1/24 03:00,83.65,3958.0,3942.601923518048,17.2,52.5,4.6,0.0,398.0,312.0,0.0,1305.0,883.0,81.7,79.92,81.76,1.87,2,3,False,17.94
1/1/24 04:00,80.33,4100.0,4005.319266652311,16.0,43.4,5.9,21.0,417.0,321.0,5.0,1360.0,892.0,83.65,81.7,81.89,1.67,2,4,True,18.12
1/1/24 05:00,80.53,4077.0,4087.664685368647,14.2,53.2,3.5,82.0,420.0,311.0,0.0,1261.0,854.0,80.33,83.65,81.5,1.86,2,5,False,17.93
1/1/24 06:00,84.36,4135.0,4135.060273768111,16.1,36.8,6.3,32.0,437.0,305.0,8.0,1350.0,846.0,80.53,80.33,81.74,2.27,2,6,False,18.14
1/1/24 07:00,82.93,4116.0,4075.1455684465905,14.2,47.2,5.6,0.0,433.0,326.0,34.0,1261.0,838.0,84.36,80.53,82.61,1.94,2,7,True,19.27
1/1/24 08:00,80.66,4165.0,4197.962283421621,16.9,48.0,4.1,121.0,433.0,300.0,22.0,1257.0,858.0,82.93,84.36,82.65,1.87,2,8,False,18.13
1/1/24 09:00,82.88,4014.0,4060.878506881328,15.4,53.6,4.8,30.0,436.0,321.0,41.0,1341.0,857.0,80.66,82.93,82.16,1.3,2,9,False,19.88
1/1/24 10:00,81.06,4207.0,4126.622006781551,15.9,50.6,6.9,77.0,414.0,301.0,27.0,1346.0,866.0,82.88,80.66,81.53,1.18,2,10,False,17.64
1/1/24 11:00,81.25,4102.0,4063.863761071689,17.4,43.5,5.9,110.0,409.0,313.0,0.0,1342.0,856.0,81.06,82.88,81.73,1.0,2,11,False,17.6
1/1/24 12:00,82.86,4297.0,4258.5428825106355,14.9,45.7,5.0,106.0,427.0,305.0,0.0,1233.0,856.0,81.25,81.06,81.72,0.99,2,12,False,17.04
1/1/24 13:00,78.75,4028.0,3981.0048449445567,14.9,51.6,4.7,159.0,425.0,306.0,29.0,1276.0,836.0,82.86,81.25,80.95,2.07,2,13,False,18.87
1/1/24 14:00,79.32,4278.0,4319.473742096588,15.8,50.3,5.1,136.0,405.0,302.0,24.0,1340.0,888.0,78.75,82.86,80.31,2.23,2,14,False,17.09
1/1/24 15:00,81.83,4131.0,4121.30869306136,17.5,47.9,4.4,77.0,420.0,329.0,10.0,1301.0,862.0,79.32,78.75,79.97,1.64,2,15,False,18.37
1/1/24 16:00,81.12,4054.0,4040.7742579344695,15.1,48.4,2.5,237.0,412.0,298.0,0.0,1245.0,854.0,81.83,79.32,80.76,1.29,2,16,False,17.51
1/1/24 17:00,83.97,4078.0,3977.8068817796625,13.9,54.3,7.5,145.0,396.0,298.0,19.0,1321.0,837.0,81.12,81.83,82.31,1.48,2,17,False,17.48
1/1/24 18:00,81.71,4101.0,4132.770901510461,16.3,48.3,5.2,136.0,440.0,342.0,32.0,1263.0,819.0,83.97,81.12,82.27,1.5,2,18,False,19.85
1/1/24 19:00,80.89,4183.0,4121.037080257326,17.4,50.5,5.5,199.0,416.0,325.0,51.0,1388.0,898.0,81.71,83.97,82.19,1.6,2,19,True,18.93
1/1/24 20:00,86.83,4200.0,4202.996631513316,18.2,61.8,4.9,172.0,457.0,275.0,44.0,1375.0,875.0,80.89,81.71,83.14,3.22,2,20,False,18.48
1/1/24 21:00,83.63,4098.0,4111.86884689791,16.6,43.9,4.1,187.0,384.0,303.0,74.0,1328.0,810.0,86.83,80.89,83.78,2.97,2,21,False,18.57
1/1/24 22:00,84.4,4160.0,4228.0329297919325,16.8,41.8,4.8,299.0,406.0,285.0,23.0,1366.0,881.0,83.63,86.83,84.95,1.67,2,22,False,17.16
1/1/24 23:00,81.59,4383.0,4317.558980044045,18.4,55.1,3.1,169.0,419.0,299.0,63.0,1301.0,886.0,84.4,83.63,83.21,1.45,2,23,False,17.82
2/1/24 00:00,83.53,4349.0,4198.0243922089585,15.5,47.8,7.7,174.0,442.0,266.0,49.0,1335.0,862.0,81.59,84.4,83.17,1.44,3,0,False,17.41
2/1/24 01:00,85.02,4227.0,4236.192477237685,17.1,49.7,3.5,204.0,428.0,312.0,63.0,1371.0,906.0,83.53,81.59,83.38,1.72,3,1,False,19.0
2/1/24 02:00,82.67,4194.0,4284.025559075542,17.8,47.4,3.8,259.0,427.0,297.0,43.0,1309.0,864.0,85.02,83.53,83.74,1.19,3,2,False,18.29
2/1/24 03:00,85.9,4209.0,4270.947317646972,18.1,50.0,4.5,138.0,399.0,316.0,75.0,1284.0,815.0,82.67,85.02,84.53,1.67,3,3,False,18.77
2/1/24 04:00,84.12,4265.0,4275.482970763731,17.3,59.4,6.5,123.0,399.0,291.0,61.0,1211.0,869.0,85.9,82.67,84.23,1.62,3,4,False,17.61
2/1/24 05:00,84.9,4109.0,4084.4181907183975,17.9,55.5,5.0,200.0,429.0,317.0,44.0,1292.0,865.0,84.12,85.9,84.97,0.89,3,5,False,19.23
2/1/24 06:00,84.45,4192.0,4232.3561298318655,15.5,55.8,3.5,155.0,397.0,310.0,59.0,1337.0,839.0,84.9,84.12,84.49,0.39,3,6,False,18.27
2/1/24 07:00,89.52,4058.0,4009.3226900147765,17.4,44.5,6.5,223.0,414.0,340.0,56.0,1343.0,874.0,84.45,84.9,86.29,2.81,3,7,False,19.96
2/1/24 08:00,85.95,4271.0,4294.817888467811,18.6,45.8,5.9,277.0,435.0,339.0,73.0,1320.0,807.0,89.52,84.45,86.64,2.6,3,8,False,19.83
2/1/24 09:00,84.02,4302.0,4327.273507958332,17.3,37.4,5.6,215.0,406.0,330.0,41.0,1268.0,886.0,85.95,89.52,86.5,2.79,3,9,False,18.06
2/1/24 10:00,87.94,4196.0,4249.010495374944,18.4,47.6,5.9,196.0,459.0,314.0,66.0,1195.0,830.0,84.02,85.95,85.97,1.96,3,10,False,20.0
2/1/24 11:00,84.01,4408.0,4545.983001945554,18.9,56.5,7.9,278.0,452.0,349.0,77.0,1269.0,827.0,87.94,84.02,85.32,2.27,3,11,False,19.92
2/1/24 12:00,87.02,4135.0,4154.620798358938,18.2,54.4,7.6,325.0,397.0,297.0,71.0,1278.0,853.0,84.01,87.94,86.32,2.06,3,12,False,18.5
2/1/24 13:00,82.83,4117.0,4091.551818714625,18.8,50.7,4.2,205.0,411.0,299.0,99.0,1278.0,869.0,87.02,84.01,84.62,2.16,3,13,False,19.65
2/1/24 14:00,84.24,4293.0,4291.7212843904,17.8,51.8,6.9,338.0,384.0,320.0,90.0,1324.0,861.0,82.83,87.02,84.7,2.13,3,14,False,18.5
2/1/24 15:00,87.43,4381.0,4292.546204755544,18.6,48.5,5.5,345.0,415.0,355.0,76.0,1392.0,833.0,84.24,82.83,84.83,2.36,3,15,False,19.31
2/1/24 16:00,88.66,4451.0,4416.264343445547,19.5,53.0,5.6,360.0,447.0,319.0,82.0,1298.0,840.0,87.43,84.24,86.78,2.28,3,16,False,19.05
2/1/24 17:00,87.66,4243.0,4222.535878094345,19.1,55.9,3.0,380.0,424.0,320.0,86.0,1281.0,821.0,88.66,87.43,87.92,0.65,3,17,False,19.56
2/1/24 18:00,87.22,4403.0,4376.79558010327,18.5,44.0,4.8,437.0,442.0,302.0,90.0,1278.0,848.0,87.66,88.66,87.85,0.74,3,18,False,18.94
2/1/24 19:00,86.98,4297.0,4304.617743601686,19.4,53.6,4.0,316.0,403.0,338.0,47.0,1297.0,887.0,87.22,87.66,87.29,0.34,3,19,True,18.34
2/1/24 20:00,84.76,4290.0,4248.87900338089,20.0,56.8,6.0,347.0,450.0,339.0,79.0,1249.0,854.0,86.98,87.22,86.32,1.36,3,20,True,20.23
2/1/24 21:00,86.4,4401.0,4457.051533366223,17.3,50.2,6.3,327.0,424.0,337.0,57.0,1296.0,880.0,84.76,86.98,86.05,1.15,3,21,False,18.59
2/1/24 22:00,87.04,4384.0,4384.01035324591,20.6,55.8,2.5,356.0,436.0,316.0,114.0,1312.0,897.0,86.4,84.76,86.07,1.18,3,22,True,19.75
2/1/24 23:00,90.2,4167.0,4166.534983943069,19.2,66.4,5.0,439.0,435.0,315.0,89.0,1300.0,836.0,87.04,86.4,87.88,2.03,3,23,False,20.13
3/1/24 00:00,88.88,4478.0,4461.6052641743545,20.0,51.9,6.3,303.0,412.0,307.0,89.0,1312.0,848.0,90.2,87.04,88.71,1.59,4,0,False,18.04
3/1/24 01:00,84.78,4474.0,4481.759534192949,20.9,54.4,4.8,334.0,415.0,328.0,112.0,1310.0,918.0,88.88,90.2,87.95,2.83,4,1,False,19.11
3/1/24 02:00,89.07,4279.0,4320.254913233382,18.4,48.8,5.9,453.0,458.0,311.0,104.0,1199.0,896.0,84.78,88.88,87.58,2.42,4,2,False,20.4
3/1/24 03:00,87.76,4386.0,4342.643489214455,19.2,53.4,5.4,442.0,448.0,310.0,75.0,1319.0,802.0,89.07,84.78,87.2,2.2,4,3,False,18.99
3/1/24 04:00,87.28,4401.0,4368.094175546237,19.7,54.9,5.4,380.0,461.0,322.0,98.0,1253.0,864.0,87.76,89.07,88.04,0.93,4,4,False,20.02
3/1/24 05:00,89.95,4383.0,4367.813698561166,19.3,53.6,4.7,448.0,448.0,322.0,94.0,1231.0,852.0,87.28,87.76,88.33,1.42,4,5,True,19.71
3/1/24 06:00,90.89,4307.0,4239.706453826339,21.9,47.6,3.5,429.0,445.0,321.0,68.0,1231.0,876.0,89.95,87.28,89.37,1.87,4,6,False,19.36
3/1/24 07:00,90.78,4300.0,4259.037107013925,19.4,53.7,3.7,494.0,408.0,337.0,91.0,1307.0,829.0,90.89,89.95,90.54,0.51,4,7,False,19.44
3/1/24 08:00,87.33,4370.0,4346.188956322767,19.8,60.1,5.9,429.0,438.0,332.0,103.0,1274.0,826.0,90.78,90.89,89.67,2.02,4,8,False,19.98
3/1/24 09:00,88.47,4495.0,4538.719459035637,20.6,55.1,5.0,483.0,444.0,327.0,106.0,1200.0,830.0,87.33,90.78,88.86,1.76,4,9,False,19.51
3/1/24 10:00,89.84,4437.0,4450.128066450096,19.3,57.7,4.8,571.0,484.0,334.0,80.0,1308.0,833.0,88.47,87.33,88.55,1.26,4,10,False,20.24
3/1/24 11:00,91.2,4350.0,4359.679495568377,20.2,51.7,4.5,475.0,459.0,317.0,134.0,1211.0,874.0,89.84,88.47,89.84,1.37,4,11,False,20.92
3/1/24 12:00,88.37,4469.0,4511.544898108398,21.0,56.7,4.6,455.0,477.0,334.0,111.0,1289.0,814.0,91.2,89.84,89.8,1.42,4,12,True,20.63
3/1/24 13:00,89.02,4112.0,4105.13141058003,20.4,54.4,6.3,495.0,459.0,335.0,115.0,1294.0,830.0,88.37,91.2,89.53,1.48,4,13,False,22.11
3/1/24 14:00,87.25,4516.0,4535.523242496444,20.7,48.3,4.6,447.0,433.0,311.0,124.0,1326.0,795.0,89.02,88.37,88.21,0.9,4,14,False,19.22
3/1/24 15:00,87.13,4232.0,4226.838912353375,20.4,54.7,3.4,591.0,451.0,349.0,102.0,1370.0,879.0,87.25,89.02,87.8,1.06,4,15,False,21.31
3/1/24 16:00,91.21,4374.0,4387.268117469981,19.5,48.2,5.9,487.0,454.0,321.0,129.0,1212.0,886.0,87.13,87.25,88.53,2.32,4,16,True,20.67
3/1/24 17:00,92.35,4302.0,4272.862067119421,21.4,50.0,4.8,471.0,431.0,337.0,114.0,1277.0,838.0,91.21,87.13,90.23,2.74,4,17,False,20.5
3/1/24 18:00,89.55,4289.0,4167.059142086178,22.9,54.2,5.0,449.0,443.0,353.0,105.0,1265.0,838.0,92.35,91.21,91.04,1.41,4,18,False,21.01
3/1/24 19:00,91.74,4538.0,4531.286041890685,21.2,54.8,6.9,552.0,447.0,350.0,136.0,1300.0,861.0,89.55,92.35,91.21,1.47,4,19,False,20.56
3/1/24 20:00,90.5,4380.0,4451.137406804997,21.5,47.4,5.0,547.0,484.0,337.0,156.0,1288.0,891.0,91.74,89.55,90.6,1.1,4,20,False,22.31
3/1/24 21:00,88.53,4465.0,4511.31077011208,22.1,58.7,5.3,485.0,411.0,332.0,142.0,1259.0,859.0,90.5,91.74,90.26,1.62,4,21,False,19.82
3/1/24 22:00,90.58,4429.0,4477.269874229559,20.2,56.3,3.6,545.0,477.0,352.0,147.0,1254.0,825.0,88.53,90.5,89.87,1.16,4,22,False,22.04
